,"E[r]_40,Cov_40","E[r]_40,Cov_40","E[r]_40,Cov_40","E[r]_40,Cov_40","E[r]_40,Cov_40","E[r]_40,Cov_40","E[r]_80,Cov_80","E[r]_80,Cov_80","E[r]_80,Cov_80","E[r]_80,Cov_80","E[r]_80,Cov_80","E[r]_80,Cov_80","E[r]_120,Cov_120","E[r]_120,Cov_120","E[r]_120,Cov_120","E[r]_120,Cov_120","E[r]_120,Cov_120","E[r]_120,Cov_120",SPY
,beta= -1,beta=-0.5,beta=0,beta=0.5,beta=1.0,beta=1.5,beta= -1,beta=-0.5,beta=0,beta=0.5,beta=1.0,beta=1.5,beta= -1,beta=-0.5,beta=0,beta=0.5,beta=1.0,beta=1.5,
cum_return,0.20033354862841873,0.19225464467830847,0.16710083359002836,0.1315794131787746,0.09373305405148871,0.060314091531100754,1.169211039980332e-05,1.599872451514968e-05,1.97239680585665e-05,2.2443549099743524e-05,2.360976220318032e-05,2.2909989318643192e-05,0.0008294407486040711,0.001560552326841163,0.002635138312641686,0.003998405337803018,0.00545556972130973,0.006695514962253249,0.21254708306064488
ari_mean_return,0.001977011594543894,0.002052786978113667,0.0021282327261103046,0.002203692162405831,0.00227910745740821,0.00235448794957244,-0.0014505595422458638,-0.0013198740271125006,-0.0011963272444419923,-0.0010736149748852683,-0.0009508824328941338,-0.0008290314631747277,-0.000830388407974463,-0.0006916268452967157,-0.0005526792618143798,-0.0004135464248195474,-0.00027422898297897903,-0.00013472764729936457,0.0003987403188277834
geo_mean_return,0.07370518572474838,0.07063793035683164,0.06018947731728508,0.04238287130559071,0.017114692061337422,-0.015728450564467256,-0.651678361964142,-0.6283774178309776,-0.6128227457655733,-0.6032239280932827,-0.5994593867701403,-0.6016953052790097,-0.3348258459755227,-0.2878013853324646,-0.24881646339283692,-0.21778466687902287,-0.19465556130754402,-0.17941065506682508,0.07811503226806682
daily_min_return,-107.17109084520082,-101.48979743831727,-95.8053691504117,-92.36145289812467,-102.54156464346512,-112.72385121519228,-72.85755796095214,-67.99318440931972,-63.17322057979894,-65.65129943845876,-75.735032829438,-85.84639500382488,-65.53676199218971,-64.44401677388963,-63.32936043290109,-66.31298222703894,-72.42103104504513,-78.50652064569955,-27.355903467396107
drawdown,-0.5709790878606306,-0.5840864020212118,-0.5979861240043023,-0.6210565265701651,-0.6762269314486027,-0.726115928388614,-0.4099637596956345,-0.4359978230972632,-0.47768195005137926,-0.5257346750555795,-0.5708117523533909,-0.6130826689016442,-0.5831102623269251,-0.5607157782648755,-0.5373896532666191,-0.5316378299152726,-0.5759502813232995,-0.6194637939987039,-0.2494829171228684
vol,14.385398626101017,14.751576975613622,15.22261141385815,15.789125271732177,16.441259079277344,17.169249558389044,11.975582745889543,12.164966635634379,12.469360789404254,12.876388778246714,13.378026517948577,13.962391942371767,7.911975425281653,7.530934350813744,7.393187580701101,7.511874135784956,7.875166341109,8.451357182910993,3.281797565742139
sharpe_ratio,0.00013743182555656008,0.0001391571207273097,0.00013980733451376376,0.00013957025006009537,0.00013862122398404451,0.00013713400469632156,-0.00012112642641492738,-0.00010849795701422175,-9.594134492110955e-05,-8.337857712862991e-05,-7.107793003836449e-05,-5.93760343210865e-05,-0.0001049533603606842,-9.183811902728684e-05,-7.47552061653451e-05,-5.505236341081662e-05,-3.482199246350921e-05,-1.594153984779979e-05,0.00012150058339677423
skewness,-0.24573524360136673,-0.25283873022073516,-0.2581543045283206,-0.26025702852005067,-0.25851008609373655,-0.2529083492148548,-0.042548897276179665,-0.05681051710198619,-0.06656239879642824,-0.0694856690441964,-0.06455023000212828,-0.0523205136177073,-0.4775068653544972,-0.3946542552084887,-0.38264803288393356,-0.44333380875774814,-0.5356409361395018,-0.6109954086339341,-0.033185712387260445
kurtosis,2.1401859246823953,2.16023637510357,2.3318370706807388,2.6506692140367356,3.0970092584963957,3.6416483355417597,1.577210434190306,1.6135346956512695,1.7581699451405903,2.03206835710417,2.44245766609444,2.9778026324659432,7.164171935825568,6.221675383435041,5.950615859174224,6.161929928619166,6.560277523036003,7.006775924120239,15.024759784196053
modified_VaR,-148.84741060538153,-152.7404896655338,-157.4091683159149,-162.68823612834032,-168.4458769729875,-174.58416353917494,-125.37786966828155,-127.37117123604412,-130.29735425580546,-133.91170278515364,-138.05005037068798,-142.56323440092655,-82.96415048069855,-78.66125132242448,-77.12717528691057,-78.70354052905924,-83.07987725798797,-89.48271554935269,-27.411919821962325
C_VaR,-206.29459051530839,-213.41561913715395,-221.91388925025313,-231.29456262336572,-242.27331375360475,-254.57990743419916,-168.816583133936,-173.29600412578716,-179.2716465084661,-186.38083406869808,-194.037611404893,-202.82163628341306,-120.26664430800865,-113.4780000584488,-110.64954326785767,-111.74531309686162,-117.94072743519455,-128.22336734878246,-51.52114696213486
